id,kel_1_qn,kel_1_ans,kel_2_qn,kel_2_ans,kel_3_qn,kel_3_ans,prov,female,urban,muslim,age,married,children,educ,retired,unemployed,income,javanese,santri,v_11,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_23,v_55,v_56,v_60,v_62,v_65,v_77,v_78,v_79,v_82,v_84,v_86,v_87,v_109,v_114,v_116,v_117,v_118,v_120,v_121,v_122,v_124,v_125,v_126,v_128,v_129,v_130,v_132,v_133,v_134,v_136,v_137,v_138,v_140,v_141,prio1,prio2,prio3,prio4,prio5,prio6,prio7,prio8,prio9,prio10,prio11,prio12,prio13,prio14,prio15,prio16,prio17,prio18
14,"Pancasila/Unclear","Yes","Pancasila/Bad","No","Pancasila/Bad","No","NanggroeAcehDarussalam",1,0,1,40,0,,2,0,0,3,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Abangan","Don't Know","Better","A little progress","A Little","None","Very Uninterested","Don't know","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Agree","Disagree","Don't know","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
15,"Pancasila/Bad","No","Islam/Unclear","Yes","Islam/Good","Yes","NanggroeAcehDarussalam",0,0,1,33,1,1,2,0,0,4,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Fairly Often","Fairly Often","Routinely/Always/Very Often","Abangan","Worse","Better","A little progress","A Little","None","Very Uninterested","Small","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Strongly agree","Disagree","Compatible","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Disagree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Disagree","Disagree",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
16,"Pancasila/Bad","No","Pancasila/Good","Yes","Islam/Bad","No","NanggroeAcehDarussalam",1,1,1,43,1,4,5,0,0,4,0,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Don't know","Don't Know","Worse","Some progress","A Little","None","Very Uninterested","Very large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Can't choose","Agree","Agree","Don't know","Disagree","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Don't know/Refuse to answer","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Agree","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,"Pancasila/Unclear","No","Pancasila/Good","No","Pancasila/Good","No","NanggroeAcehDarussalam",0,1,1,52,1,2,7,0,0,10,0,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Fairly Often","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Don't know","Worse","Worse","A little progress","Somewhat Large","None","Not Interested","None at all","Yes","megawati sukarnoputri-hasyim muzadi","Not very satisfied","Strongly agree","Agree","Compatible","Agree","Agree","Disagree","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Agree","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
18,"Islam/Good","Yes","Islam/Good","Yes","Pancasila/Good","No","NanggroeAcehDarussalam",1,0,1,40,1,4,2,0,0,5,0,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Abangan","Same","Same","Some progress","A Little","A Little","Not Interested","None at all","Yes","Refuse to answer","Somewhat satisfied","Don't know","Don't know","Compatible","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Agree","Agree","Agree","Agree","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
19,"Pancasila/Bad","Yes","Pancasila/Bad","Yes","Pancasila/Unclear","Yes","NanggroeAcehDarussalam",1,0,1,23,1,3,2,0,0,5,0,0,"Never","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Never","Seldom","Seldom","Routinely/Always/Very Often","Abangan","Better","Better","Much progress","A Little","Don't Know","Not Interested","None at all","Yes","susilo bambang yudhoyono-m. jusuf kalla","Very satisfied","Strongly agree","Strongly agree","Compatible","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20,"Islam/Good","Yes","Pancasila/Bad","No","Islam/Bad","No","NanggroeAcehDarussalam",1,0,1,31,1,1,5,0,0,3,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Seldom","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Abangan","Same","Same","No progress","A Little","None","Very Uninterested","Small","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Strongly agree","Disagree","Compatible","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Disagree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Disagree","Disagree",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
21,"Pancasila/Unclear","Yes","Islam/Good","No","Pancasila/Unclear","Yes","NanggroeAcehDarussalam",1,0,1,17,0,,6,0,0,8,0,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Seldom","Routinely/Always/Very Often","Abangan","Worse","Worse","A little progress","None","None","Not Interested","None at all","No, because failed to fulfill requirements",,"Somewhat satisfied","Agree","Agree","Compatible","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
22,"Islam/Bad","No","Islam/Bad","No","Pancasila/Good","No","NanggroeAcehDarussalam",1,0,1,25,0,,9,0,0,3,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Don't know","Better","Same","A little progress","A Little","Don't Know","Interested","Small","Yes","amien rais-siswono yudhohusodo","Not very satisfied","Agree","Disagree","Compatible","Disagree","Agree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
23,"Pancasila/Bad","Yes","Islam/Unclear","No","Islam/Bad","No","NanggroeAcehDarussalam",0,0,1,25,0,,7,0,0,3,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Abangan","Same","Same","Much progress","Very Large","None","Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Strongly agree","Strongly agree","Compatible","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
24,"Islam/Good","Yes","Pancasila/Bad","No","Pancasila/Good","Yes","NanggroeAcehDarussalam",0,0,1,20,0,,7,0,0,1,0,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Santri","Worse","Better","Much progress","Very Large","Very Large","Interested","Very large","Yes",,"Very satisfied","Strongly agree","Strongly agree","Incompatible","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
25,"Islam/Unclear","No","Islam/Good","Yes","Islam/Good","Yes","NanggroeAcehDarussalam",1,0,1,28,1,1,7,0,0,5,0,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Seldom","Fairly Often","Don't know","Worse","Same","Some progress","A Little","None","Very Uninterested","Somewhat large","No, because forbidden or not registered",,"Somewhat satisfied","Agree","Agree","Compatible","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,"Pancasila/Good","Yes","Pancasila/Unclear","No","Pancasila/Unclear","No","NanggroeAcehDarussalam",0,0,1,33,1,3,3,0,0,4,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Other","Same","Same","A little progress","A Little","None","Interested","Small","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Strongly agree","Disagree","Compatible","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Don't know/Refuse to answer",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
27,"Islam/Bad","No","Islam/Good","Yes","Islam/Good","Yes","NanggroeAcehDarussalam",1,1,1,37,1,2,7,0,0,4,0,0,"Often","Fairly Often","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Never","Seldom","Routinely/Always/Very Often","Don't know","Worse","Worse","A little progress","A Little","None","Not Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Strongly agree","Agree","Compatible","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Disagree","Agree","Agree","Don't know/Refuse to answer",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
28,"Pancasila/Bad","No","Pancasila/Bad","No","Pancasila/Bad","No","NanggroeAcehDarussalam",1,0,1,33,1,3,7,0,0,14,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Don't know","Worse","Same","Don't know","Somewhat Large","A Little","Not Interested","Very large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Strongly agree","Strongly agree","Compatible","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
29,"Pancasila/Good","Yes","Islam/Good","Yes","Pancasila/Good","No","NanggroeAcehDarussalam",1,0,1,80,1,5,1,0,0,3,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Never","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Abangan","Same","Better","A little progress","A Little","None","Very Uninterested","Small","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Agree","Agree","Don't know","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,"Islam/Good","No","Islam/Unclear","No","Islam/Unclear","No","NanggroeAcehDarussalam",0,0,1,32,1,0,7,0,0,10,0,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Seldom","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Other","Worse","Better","A little progress","Somewhat Large","None","Not Interested","Somewhat large","Yes",,"Somewhat satisfied","Agree","Agree","Compatible","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,"Islam/Unclear","Yes","Islam/Unclear","Yes","Pancasila/Good","Yes","NanggroeAcehDarussalam",1,0,,22,1,0,6,0,0,5,0,,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Seldom","Don't Know","Routinely/Always/Very Often","Abangan","Same","Same","A little progress","A Little","None","Interested","Small","Yes","susilo bambang yudhoyono-m. jusuf kalla","Very satisfied","Strongly agree","Agree","Compatible","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
32,"Islam/Bad","No","Islam/Bad","No","Islam/Unclear","No","NanggroeAcehDarussalam",1,0,1,46,1,5,3,0,0,3,0,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Seldom","Routinely/Always/Very Often","Don't know","Don't Know","Same","Don't know","A Little","None","Very Uninterested","None at all","Yes","Refuse to answer","Somewhat satisfied","Agree","Agree","Compatible","Don't know/Refuse to answer","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Disagree","Don't know/Refuse to answer","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
